 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 17:2:42, 21/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
          61       78548           1          11   8.5000998558767750E-006   5.0696849574593986E-002
          62       77010           1          11   8.5002527029029180E-006   5.0696848625766837E-002
          63       81899           1          11   6.2394893467705715E-006   5.0697651469535136E-002
          64       80109           1          11   6.2481292959635614E-006   5.0915687504731397E-002
          65       99843           1          11   9.9266248077820528E-005   3.0701373812230381E-002
          66       89650           1          11   9.9258868497606085E-005   2.9855143920759296E-002
          67       90444           1          11   9.8959902016685966E-005   2.3119168494085546E-002
          68       86796           1          11   9.8954109183782703E-005   2.3137971843788113E-002
          69       87171           1          11   9.8954064333268843E-005   2.1186898000784285E-002
          70       81864           1          11   9.8954121520202526E-005   2.0943929702128047E-002
          71       83766           1          11   9.8954308897447648E-005   2.5501322591464381E-002
          72       81675           1          11   9.8954318097545308E-005   2.5513241901767292E-002
          73       81896           1          11   9.8954163054915098E-005   2.2969197533382339E-002
          74       79082           1          11   9.8954387411887267E-005   2.5096542276726079E-002
          75       82860           1          11   9.8955575896782794E-005   1.7681207278483949E-002
          76       83561           1          11   9.8955445094095427E-005   1.7681207644480043E-002
          77       83796           1          11   9.8961357453547153E-005   1.7680913407330957E-002
          78       79745           1          11   9.8955582124706935E-005   1.8944665523090244E-002
          79       83746           1          11   9.8961158620970745E-005   2.1948825570293637E-002
          80       82319           1          11   9.8955397002675733E-005   2.2231077001599295E-002
          81       84073           1          11   9.8961282867051766E-005   2.1343374450930860E-002
          82       85066           1          11   9.8961334707245782E-005   2.1343371971841385E-002
          83       88491           1          11   9.8961789693600201E-005   2.1344683968699492E-002
          84       88436           1          11   9.8961595087721467E-005   2.1344683636190236E-002
          85       91512           1          11   9.8989929437180211E-005   1.8230955756475022E-002
          86       89770           1          11   9.8989675015760691E-005   1.8229854082800690E-002
          87       94778           1          11   2.1606065272867742E-006   5.2145152254484944E-003
          88       94085           1          11   2.1606079909381403E-006   1.9696340510608978E-002
          89       93612           1          11   2.4184279741474719E-006   1.1880770943637986E-002
          90       93477           1          11   2.4184297663736357E-006   1.1880770943866364E-002
          91      124144           1          11   2.6362785650013107E-007   1.4612063828021280E-002
