 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 21:33:48, 21/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1          49           2           2   253.45365753826624        84.504194637625872     
           2         157           2           2   62.804694669854612        45.950674694336271     
           3         441           2           2   126.61256262939588        59.929977987562431     
           4        1137           2           2   49.812927747675118        22.176275567693743     
           5        2523           2           2   20.009569855436094        6.5249960567852652     
           6        4503           2           2   10.751719118132382        1.9817063299523570     
           7        7751           2           2   6.1171556449737405        1.1047096341351397     
           8       11621           2           2   4.8928370545341737        1.6639827442316804     
           9       16323           2           2   1.3630234250620650       0.42040911945167370     
          10       21105           2           2  0.52083364045449365       0.28603119708569008     
          11       27117           2           2  0.50846589768504324       0.23771465154281082     
          12       35297           2           2  0.44284386616360516        7.2592677259190733E-002
          13       52059           2           2   2.5929854536987165E-003  0.27282315633712656     
