 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 17:3:3, 21/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1          49           2           2   253.45365753826258        84.504194637621382     
           2         197           2           2   161.49811262206663        80.324340308036753     
           3         611           2           2   90.534810946611259        47.031637614066746     
           4        1525           2           2   54.107088603544362        21.671189113160374     
           5        3527           2           2   7.8257793475795392        6.7816755002669833     
           6        6419           2           2   2.8911918427239200        1.3717122719379584     
           7       12041           2           2  0.89833093665351549        1.7332245057462371E-002
           8       22449           2           2   8.8075320844661076E-002  0.10400596017079793     
           9       34445           2           2   2.1954041314324619E-003  0.12321628177484269     
          10       43613           2           2   1.7228724548911376E-004  0.21805215743995859     
          11       50217           2           2   3.5088574981586001E-004   7.1878026223969577E-002
          12       62157           2           2   3.5106095401990636E-004   9.5839295573459229E-002
          13       90677           2           2   1.4955913711382681E-004   8.0772114445240115E-002
